event_id,timestamp,control_id,domain,system,parameter,baseline_value,current_value,drift_detected,severity,action,changed_by,change_source,approval_status,environment,maintenance_window
EVT-000342,2026-01-06T21:11:35Z,CTRL-NET-003,Network,Cisco Firewall,port_443,Allow,Allow,False,NONE,modification,admin_005,maintenance,approved,development,True
EVT-000264,2026-01-07T09:26:34Z,CTRL-CLD-010,Cloud,AWS S3,versioning,Enabled,Disabled,True,MEDIUM,modification,admin_002,maintenance,approved,staging,True
EVT-000603,2026-01-07T10:00:01Z,CTRL-SRV-002,Endpoint,Windows Server,bitlocker,Enabled,Enabled,False,NONE,modification,admin_026,change_request,approved,staging,True
EVT-000364,2026-01-07T10:33:47Z,CTRL-IAM-013,Identity,AWS IAM,least_privilege,Enforced,Enforced,False,NONE,modification,admin_004,change_request,approved,production,True
EVT-000234,2026-01-07T12:54:12Z,CTRL-LOG-027,Cloud,Azure Monitor,retention_days,365 days,180 days,True,LOW,modification,admin_024,maintenance,approved,development,True
EVT-000987,2026-01-07T14:52:31Z,CTRL-SRV-001,Endpoint,Windows Server,bitlocker,Enabled,Enabled,False,NONE,modification,admin_046,maintenance,approved,production,False
EVT-000837,2026-01-07T16:39:10Z,CTRL-SRV-011,Endpoint,Windows Server,defender_enabled,Running,Running,False,NONE,rollback,admin_033,maintenance,pending,development,False
EVT-000601,2026-01-08T03:36:13Z,CTRL-LOG-024,Cloud,Azure Monitor,metrics_collection,Enabled,Enabled,False,NONE,modification,admin_022,maintenance,approved,testing,True
EVT-000500,2026-01-08T09:33:34Z,CTRL-NET-002,Network,Cisco Firewall,port_443,Allow,Allow,False,NONE,modification,admin_030,maintenance,approved,staging,True
EVT-000395,2026-01-08T12:46:10Z,CTRL-IAM-001,Identity,AWS IAM,mfa_enabled,Required,Required,False,NONE,modification,admin_033,change_request,approved,production,True
EVT-000122,2026-01-08T15:02:32Z,CTRL-SRV-021,Endpoint,Linux Server,selinux,Enforcing,Permissive,True,HIGH,modification,admin_050,change_request,approved,production,False
EVT-000309,2026-01-08T21:19:00Z,CTRL-LOG-001,Cloud,AWS CloudTrail,cloudtrail_enabled,Enabled,Enabled,False,NONE,modification,admin_046,change_request,approved,production,True
EVT-000161,2026-01-09T07:03:09Z,CTRL-SRV-020,Endpoint,Linux Server,auditd_enabled,Running,Stopped,True,HIGH,modification,admin_046,change_request,approved,testing,False
EVT-000742,2026-01-09T11:58:12Z,CTRL-CLD-021,Cloud,AWS EC2,instance_metadata_v2,Required,Required,False,NONE,rollback,admin_042,change_request,expired,production,True
EVT-000077,2026-01-09T13:04:31Z,CTRL-SRV-022,Endpoint,Linux Server,selinux,Enforcing,Permissive,True,HIGH,modification,admin_029,manual,pending,staging,False
EVT-000210,2026-01-09T14:28:21Z,CTRL-SRV-019,Endpoint,Linux Server,auditd_enabled,Running,Stopped,True,HIGH,modification,admin_004,maintenance,approved,development,True
EVT-000324,2026-01-09T15:54:43Z,CTRL-IAM-025,Identity,Microsoft Entra ID,risk_policy,Enabled,Enabled,False,NONE,modification,admin_038,change_request,approved,production,True
EVT-000639,2026-01-09T21:13:07Z,CTRL-IAM-012,Identity,AWS IAM,access_key_rotation,90 days,90 days,False,NONE,modification,admin_011,change_request,approved,testing,True
EVT-000355,2026-01-10T08:08:15Z,CTRL-LOG-023,Cloud,Azure Monitor,metrics_collection,Enabled,Enabled,False,NONE,modification,admin_013,change_request,approved,development,True
EVT-000356,2026-01-10T08:56:24Z,CTRL-IAM-025,Identity,Microsoft Entra ID,risk_policy,Enabled,Enabled,False,NONE,modification,admin_023,maintenance,approved,production,True
EVT-000281,2026-01-10T09:53:32Z,CTRL-CLD-005,Cloud,AWS S3,bucket_encryption,AES256,AES256,False,NONE,modification,admin_037,maintenance,approved,production,True
EVT-000625,2026-01-10T11:59:01Z,CTRL-CLD-020,Cloud,AWS EC2,ebs_encryption,AES256,AES256,False,NONE,modification,admin_017,change_request,approved,testing,True
EVT-000227,2026-01-10T14:52:00Z,CTRL-SRV-029,Endpoint,Linux Server,auto_updates,Enabled,Disabled,True,MEDIUM,modification,admin_008,maintenance,approved,production,True
EVT-000016,2026-01-10T14:59:26Z,CTRL-CLD-019,Cloud,AWS EC2,ebs_encryption,AES256,AES128,True,CRITICAL,modification,admin_013,emergency,pending,development,False
EVT-000905,2026-01-10T16:46:51Z,CTRL-IAM-021,Identity,Microsoft Entra ID,mfa_enabled,Required,Required,False,NONE,modification,admin_007,maintenance,approved,production,True
EVT-000878,2026-01-10T19:26:57Z,CTRL-SRV-001,Endpoint,Windows Server,bitlocker,Enabled,Enabled,False,NONE,modification,admin_043,maintenance,approved,production,False
EVT-000807,2026-01-11T10:11:26Z,CTRL-LOG-021,Cloud,Azure Monitor,metrics_collection,Enabled,Reduced,True,LOW,rollback,admin_019,manual,pending,production,True
EVT-000989,2026-01-11T11:12:32Z,CTRL-LOG-004,Cloud,AWS CloudTrail,cloudtrail_enabled,Enabled,Enabled,False,NONE,modification,admin_032,manual,approved,testing,False
EVT-000805,2026-01-11T11:20:16Z,CTRL-CLD-027,Cloud,AWS EC2,monitoring_enabled,Enabled,Enabled,False,NONE,modification,admin_039,change_request,pending,development,True
EVT-000552,2026-01-11T17:00:40Z,CTRL-CLD-009,Cloud,AWS S3,versioning,Enabled,Enabled,False,NONE,modification,admin_016,maintenance,approved,production,True
EVT-000529,2026-01-11T20:25:06Z,CTRL-IAM-026,Identity,Microsoft Entra ID,risk_policy,Enabled,Enabled,False,NONE,modification,admin_015,change_request,approved,staging,True
EVT-000474,2026-01-11T21:45:02Z,CTRL-SRV-011,Endpoint,Windows Server,defender_enabled,Running,Running,False,NONE,modification,admin_044,change_request,approved,development,True
EVT-000747,2026-01-11T22:50:20Z,CTRL-SRV-009,Endpoint,Windows Server,defender_enabled,Running,Stopped,True,HIGH,rollback,admin_006,maintenance,pending,production,True
EVT-000240,2026-01-12T00:40:34Z,CTRL-CLD-015,Cloud,AWS S3,access_logging,Enabled,Disabled,True,HIGH,modification,admin_049,change_request,approved,development,False
EVT-000407,2026-01-12T12:38:31Z,CTRL-NET-012,Network,Cisco Firewall,firewall_logging,Enabled,Enabled,False,NONE,modification,admin_009,maintenance,approved,testing,True
EVT-000801,2026-01-13T09:11:37Z,CTRL-CLD-017,Cloud,AWS EC2,ebs_encryption,AES256,AES128,True,CRITICAL,rollback,admin_023,manual,expired,production,True
EVT-000911,2026-01-13T09:21:04Z,CTRL-CLD-008,Cloud,AWS S3,bucket_encryption,AES256,AES256,False,NONE,modification,admin_022,change_request,approved,testing,True
EVT-000133,2026-01-13T10:57:17Z,CTRL-NET-013,Network,Cisco Firewall,ssh_access,Restricted,Open,True,HIGH,modification,admin_038,change_request,pending,production,False
EVT-000874,2026-01-13T12:56:55Z,CTRL-LOG-001,Cloud,AWS CloudTrail,cloudtrail_enabled,Enabled,Enabled,False,NONE,modification,admin_032,maintenance,approved,production,False
EVT-000628,2026-01-13T13:40:47Z,CTRL-IAM-027,Identity,Microsoft Entra ID,risk_policy,Enabled,Enabled,False,NONE,modification,admin_006,change_request,approved,development,True
EVT-000976,2026-01-13T17:45:15Z,CTRL-LOG-028,Cloud,Azure Monitor,retention_days,365 days,365 days,False,NONE,modification,admin_023,maintenance,approved,testing,True
EVT-000398,2026-01-13T21:29:51Z,CTRL-NET-018,Network,Palo Alto Firewall,threat_prevention,Enabled,Enabled,False,NONE,modification,admin_011,change_request,approved,staging,True
EVT-000567,2026-01-14T00:09:18Z,CTRL-SRV-028,Endpoint,Linux Server,ufw_firewall,Enabled,Enabled,False,NONE,modification,admin_050,change_request,approved,testing,True
EVT-000216,2026-01-14T14:18:45Z,CTRL-LOG-023,Cloud,Azure Monitor,metrics_collection,Enabled,Reduced,True,LOW,modification,admin_027,maintenance,approved,development,True
EVT-000343,2026-01-14T15:38:40Z,CTRL-SRV-027,Endpoint,Linux Server,ufw_firewall,Enabled,Enabled,False,NONE,modification,admin_048,change_request,approved,development,True
EVT-000397,2026-01-14T16:58:19Z,CTRL-SRV-005,Endpoint,Windows Server,windows_firewall,Enabled,Enabled,False,NONE,modification,admin_045,maintenance,approved,production,True
EVT-000923,2026-01-14T17:14:40Z,CTRL-CLD-009,Cloud,AWS S3,versioning,Enabled,Enabled,False,NONE,modification,admin_032,change_request,approved,production,False
EVT-000657,2026-01-14T17:20:42Z,CTRL-NET-019,Network,Palo Alto Firewall,threat_prevention,Enabled,Enabled,False,NONE,modification,admin_043,maintenance,approved,development,True
EVT-000003,2026-01-14T17:37:22Z,CTRL-LOG-016,Cloud,AWS CloudTrail,kms_encryption,Enabled,Disabled,True,CRITICAL,modification,admin_032,emergency,pending,testing,False
EVT-000435,2026-01-15T01:29:09Z,CTRL-IAM-009,Identity,AWS IAM,access_key_rotation,90 days,90 days,False,NONE,modification,admin_018,maintenance,approved,production,True
EVT-000211,2026-01-15T09:06:15Z,CTRL-LOG-022,Cloud,Azure Monitor,metrics_collection,Enabled,Reduced,True,LOW,modification,admin_016,maintenance,approved,staging,False
EVT-000038,2026-01-15T12:23:00Z,CTRL-LOG-004,Cloud,AWS CloudTrail,cloudtrail_enabled,Enabled,Disabled,True,CRITICAL,modification,admin_023,emergency,emergency,testing,False
EVT-000246,2026-01-15T13:51:13Z,CTRL-SRV-016,Endpoint,Windows Server,auto_updates,Enabled,Disabled,True,MEDIUM,modification,admin_027,maintenance,approved,testing,True
EVT-000120,2026-01-15T23:50:39Z,CTRL-IAM-013,Identity,AWS IAM,least_privilege,Enforced,Disabled,True,CRITICAL,modification,admin_006,manual,approved,production,False
EVT-000717,2026-01-16T09:29:01Z,CTRL-SRV-029,Endpoint,Linux Server,auto_updates,Enabled,Enabled,False,NONE,modification,admin_044,change_request,approved,production,True
EVT-001000,2026-01-16T09:42:21Z,CTRL-NET-001,Network,Cisco Firewall,port_443,Allow,Allow,False,NONE,modification,admin_040,maintenance,approved,production,True
EVT-000137,2026-01-16T10:27:32Z,CTRL-NET-005,Network,Cisco Firewall,port_8080,Deny,Allow,True,HIGH,modification,admin_015,change_request,pending,production,False
EVT-000146,2026-01-16T13:29:29Z,CTRL-NET-013,Network,Cisco Firewall,ssh_access,Restricted,Open,True,HIGH,modification,admin_034,manual,approved,production,False
EVT-000873,2026-01-16T15:41:49Z,CTRL-LOG-007,Cloud,AWS CloudTrail,multi_region_trail,Enabled,Enabled,False,NONE,modification,admin_030,emergency,approved,development,True
EVT-000108,2026-01-16T22:25:20Z,CTRL-NET-007,Network,Cisco Firewall,port_8080,Deny,Allow,True,HIGH,modification,admin_013,manual,approved,development,False
EVT-000285,2026-01-17T04:00:27Z,CTRL-SRV-008,Endpoint,Windows Server,windows_firewall,Enabled,Enabled,False,NONE,modification,admin_039,maintenance,approved,testing,True
EVT-000494,2026-01-17T08:17:20Z,CTRL-LOG-028,Cloud,Azure Monitor,retention_days,365 days,365 days,False,NONE,modification,admin_042,change_request,approved,testing,True
EVT-000564,2026-01-17T11:06:23Z,CTRL-NET-009,Network,Cisco Firewall,firewall_logging,Enabled,Enabled,False,NONE,modification,admin_045,change_request,approved,production,True
EVT-000541,2026-01-17T14:08:56Z,CTRL-LOG-002,Cloud,AWS CloudTrail,cloudtrail_enabled,Enabled,Enabled,False,NONE,modification,admin_010,change_request,approved,staging,True
EVT-000063,2026-01-17T15:09:23Z,CTRL-NET-005,Network,Cisco Firewall,port_8080,Deny,Allow,True,HIGH,modification,admin_028,change_request,approved,production,False
EVT-000187,2026-01-17T19:24:36Z,CTRL-IAM-010,Identity,AWS IAM,access_key_rotation,90 days,Never,True,MEDIUM,modification,admin_030,change_request,approved,staging,True
EVT-000931,2026-01-17T21:02:54Z,CTRL-SRV-017,Endpoint,Linux Server,auditd_enabled,Running,Running,False,NONE,modification,admin_017,maintenance,approved,production,True
EVT-000614,2026-01-18T14:54:08Z,CTRL-LOG-020,Cloud,Azure Monitor,diagnostic_logging,Enabled,Enabled,False,NONE,modification,admin_038,change_request,approved,testing,True
EVT-000672,2026-01-19T02:18:33Z,CTRL-LOG-023,Cloud,Azure Monitor,metrics_collection,Enabled,Enabled,False,NONE,modification,admin_033,change_request,approved,development,True
EVT-000509,2026-01-19T08:02:20Z,CTRL-IAM-003,Identity,AWS IAM,mfa_enabled,Required,Required,False,NONE,modification,admin_030,change_request,approved,development,True
EVT-000740,2026-01-19T10:00:54Z,CTRL-SRV-025,Endpoint,Linux Server,ufw_firewall,Enabled,Enabled,False,NONE,modification,admin_044,change_request,pending,production,False
EVT-000508,2026-01-19T14:33:28Z,CTRL-SRV-013,Endpoint,Windows Server,auto_updates,Enabled,Enabled,False,NONE,modification,admin_040,maintenance,approved,production,True
EVT-000112,2026-01-19T16:00:51Z,CTRL-SRV-021,Endpoint,Linux Server,selinux,Enforcing,Permissive,True,HIGH,modification,admin_040,change_request,approved,production,False
EVT-000590,2026-01-19T17:35:36Z,CTRL-NET-025,Network,Palo Alto Firewall,logging_enabled,Enabled,Enabled,False,NONE,modification,admin_035,maintenance,approved,production,True
EVT-000673,2026-01-20T07:13:52Z,CTRL-SRV-023,Endpoint,Linux Server,selinux,Enforcing,Enforcing,False,NONE,modification,admin_028,maintenance,approved,development,True
EVT-000468,2026-01-20T09:11:39Z,CTRL-LOG-027,Cloud,Azure Monitor,retention_days,365 days,365 days,False,NONE,modification,admin_012,maintenance,approved,development,True
EVT-000604,2026-01-20T10:00:06Z,CTRL-LOG-025,Cloud,Azure Monitor,retention_days,365 days,365 days,False,NONE,modification,admin_039,maintenance,approved,production,True
EVT-000840,2026-01-20T12:44:23Z,CTRL-IAM-024,Identity,Microsoft Entra ID,mfa_enabled,Required,Disabled,True,CRITICAL,rollback,admin_042,manual,pending,testing,True
EVT-000744,2026-01-20T14:22:22Z,CTRL-CLD-010,Cloud,AWS S3,versioning,Enabled,Disabled,True,MEDIUM,rollback,admin_024,manual,expired,staging,False
EVT-000946,2026-01-20T15:42:29Z,CTRL-LOG-020,Cloud,Azure Monitor,diagnostic_logging,Enabled,Enabled,False,NONE,modification,admin_015,change_request,approved,testing,True
EVT-000670,2026-01-21T09:20:35Z,CTRL-SRV-006,Endpoint,Windows Server,windows_firewall,Enabled,Enabled,False,NONE,modification,admin_031,maintenance,approved,staging,True
EVT-000548,2026-01-21T09:31:16Z,CTRL-IAM-008,Identity,AWS IAM,password_policy,Strong (Min14Chars),Strong (Min14Chars),False,NONE,modification,admin_037,maintenance,approved,testing,True
EVT-000760,2026-01-21T10:18:05Z,CTRL-LOG-004,Cloud,AWS CloudTrail,cloudtrail_enabled,Enabled,Disabled,True,CRITICAL,rollback,admin_039,maintenance,expired,testing,True
EVT-000889,2026-01-21T12:15:26Z,CTRL-SRV-023,Endpoint,Linux Server,selinux,Enforcing,Enforcing,False,NONE,modification,admin_035,change_request,approved,development,False
EVT-000423,2026-01-21T13:14:15Z,CTRL-LOG-025,Cloud,Azure Monitor,retention_days,365 days,365 days,False,NONE,modification,admin_037,maintenance,approved,production,True
EVT-000782,2026-01-21T17:19:20Z,CTRL-SRV-005,Endpoint,Windows Server,windows_firewall,Enabled,Disabled,True,HIGH,modification,admin_008,manual,expired,production,False
EVT-000783,2026-01-21T20:50:46Z,CTRL-IAM-006,Identity,AWS IAM,password_policy,Strong (Min14Chars),Weak,True,HIGH,rollback,admin_004,manual,pending,staging,False
EVT-000267,2026-01-22T09:14:24Z,CTRL-CLD-009,Cloud,AWS S3,versioning,Enabled,Disabled,True,MEDIUM,modification,admin_025,maintenance,approved,production,True
EVT-000473,2026-01-22T12:46:49Z,CTRL-SRV-002,Endpoint,Windows Server,bitlocker,Enabled,Enabled,False,NONE,modification,admin_043,change_request,approved,staging,True
EVT-000587,2026-01-22T14:54:06Z,CTRL-IAM-016,Identity,AWS IAM,least_privilege,Enforced,Enforced,False,NONE,modification,admin_039,change_request,approved,testing,True
EVT-000623,2026-01-22T16:23:57Z,CTRL-NET-025,Network,Palo Alto Firewall,logging_enabled,Enabled,Enabled,False,NONE,modification,admin_032,maintenance,approved,production,True
EVT-000636,2026-01-22T21:18:05Z,CTRL-LOG-016,Cloud,AWS CloudTrail,kms_encryption,Enabled,Enabled,False,NONE,modification,admin_003,change_request,approved,testing,True
EVT-000713,2026-01-23T04:41:55Z,CTRL-LOG-026,Cloud,Azure Monitor,retention_days,365 days,365 days,False,NONE,modification,admin_004,maintenance,approved,staging,True
EVT-000079,2026-01-23T05:58:09Z,CTRL-CLD-004,Cloud,AWS S3,public_access,Disabled,Enabled,True,HIGH,modification,admin_010,change_request,approved,testing,False
EVT-000237,2026-01-23T08:29:00Z,CTRL-IAM-010,Identity,AWS IAM,access_key_rotation,90 days,Never,True,MEDIUM,modification,admin_046,maintenance,approved,staging,False
EVT-000098,2026-01-23T09:32:40Z,CTRL-IAM-015,Identity,AWS IAM,least_privilege,Enforced,Disabled,True,CRITICAL,modification,admin_007,change_request,pending,development,False
EVT-000455,2026-01-23T11:21:48Z,CTRL-CLD-009,Cloud,AWS S3,versioning,Enabled,Enabled,False,NONE,modification,admin_022,maintenance,approved,production,True
EVT-000461,2026-01-23T15:28:52Z,CTRL-CLD-001,Cloud,AWS S3,public_access,Disabled,Disabled,False,NONE,modification,admin_024,maintenance,approved,production,True
EVT-000772,2026-01-23T15:46:33Z,CTRL-NET-026,Network,Palo Alto Firewall,logging_enabled,Enabled,Disabled,True,HIGH,modification,admin_008,manual,pending,staging,False
EVT-000308,2026-01-23T18:13:05Z,CTRL-SRV-001,Endpoint,Windows Server,bitlocker,Enabled,Enabled,False,NONE,modification,admin_005,change_request,approved,production,True
EVT-000053,2026-01-23T23:37:10Z,CTRL-CLD-007,Cloud,AWS S3,bucket_encryption,AES256,AES128,True,CRITICAL,modification,admin_010,emergency,pending,development,False
EVT-000460,2026-01-24T08:05:48Z,CTRL-NET-023,Network,Palo Alto Firewall,url_filtering,Enabled,Enabled,False,NONE,modification,admin_011,change_request,approved,development,True
EVT-000156,2026-01-24T13:17:54Z,CTRL-SRV-006,Endpoint,Windows Server,windows_firewall,Enabled,Disabled,True,HIGH,modification,admin_019,manual,pending,staging,False
EVT-000826,2026-01-24T15:58:04Z,CTRL-LOG-002,Cloud,AWS CloudTrail,cloudtrail_enabled,Enabled,Enabled,False,NONE,modification,admin_004,change_request,pending,staging,False
EVT-000709,2026-01-24T16:28:06Z,CTRL-CLD-015,Cloud,AWS S3,access_logging,Enabled,Enabled,False,NONE,modification,admin_018,change_request,approved,development,True
EVT-000736,2026-01-24T17:31:50Z,CTRL-LOG-010,Cloud,AWS CloudTrail,log_file_validation,Enabled,Disabled,True,HIGH,modification,admin_003,maintenance,expired,staging,False
EVT-000688,2026-01-24T23:31:41Z,CTRL-SRV-003,Endpoint,Windows Server,bitlocker,Enabled,Enabled,False,NONE,modification,admin_014,change_request,approved,development,True
EVT-000648,2026-01-25T09:29:40Z,CTRL-SRV-022,Endpoint,Linux Server,selinux,Enforcing,Enforcing,False,NONE,modification,admin_033,change_request,approved,staging,True
EVT-000050,2026-01-25T09:59:15Z,CTRL-CLD-018,Cloud,AWS EC2,ebs_encryption,AES256,AES128,True,CRITICAL,modification,admin_034,manual,pending,staging,False
EVT-000323,2026-01-25T13:43:51Z,CTRL-CLD-024,Cloud,AWS EC2,instance_metadata_v2,Required,Required,False,NONE,modification,admin_018,maintenance,approved,testing,True
EVT-000220,2026-01-25T17:22:58Z,CTRL-CLD-011,Cloud,AWS S3,versioning,Enabled,Disabled,True,MEDIUM,modification,admin_045,maintenance,approved,development,True
EVT-000140,2026-01-25T17:30:19Z,CTRL-NET-016,Network,Cisco Firewall,ssh_access,Restricted,Open,True,HIGH,modification,admin_018,manual,pending,testing,False
EVT-000046,2026-01-26T06:54:56Z,CTRL-CLD-019,Cloud,AWS EC2,ebs_encryption,AES256,AES128,True,CRITICAL,modification,admin_028,emergency,emergency,development,False
EVT-000620,2026-01-26T10:05:34Z,CTRL-SRV-027,Endpoint,Linux Server,ufw_firewall,Enabled,Enabled,False,NONE,modification,admin_014,maintenance,approved,development,True
EVT-000352,2026-01-26T11:14:56Z,CTRL-IAM-002,Identity,AWS IAM,mfa_enabled,Required,Required,False,NONE,modification,admin_041,maintenance,approved,staging,True
EVT-000763,2026-01-26T13:38:36Z,CTRL-LOG-014,Cloud,AWS CloudTrail,kms_encryption,Enabled,Disabled,True,CRITICAL,rollback,admin_039,change_request,expired,staging,False
EVT-000836,2026-01-26T13:40:13Z,CTRL-CLD-012,Cloud,AWS S3,versioning,Enabled,Disabled,True,MEDIUM,rollback,admin_046,change_request,expired,testing,False
EVT-000194,2026-01-26T14:42:14Z,CTRL-CLD-016,Cloud,AWS S3,access_logging,Enabled,Disabled,True,HIGH,modification,admin_022,change_request,approved,testing,True
